Date,Open,High,Low,Close,Adj Close,Volume
2022-10-27,160.19,160.24,153.96,156.3,142.02,12815710.0
2022-10-28,156.46,159.0,155.13,157.22,142.85,5056868.0
2022-10-31,157.58,164.5,157.0,161.28,146.54,8944325.0
2022-11-01,161.11,164.55,161.11,163.02,148.13,5985089.0
2022-11-03,163.88,166.41,158.96,163.75,148.79,8832711.0
2022-11-04,163.88,167.36,163.88,166.75,151.51,4813303.0
2022-11-07,166.58,167.78,159.55,160.08,145.45,3264713.0
2022-11-08,160.08,160.39,155.0,156.02,141.76,5665850.0
2022-11-09,156.13,158.49,151.21,153.0,139.01,5693668.0
2022-11-10,153.69,156.72,153.63,153.69,139.65,7891497.0
2022-11-11,154.0,155.28,149.13,151.0,137.19,6884486.0
2022-11-14,151.21,153.08,148.19,149.5,135.83,6733971.0
2022-11-15,150.69,154.58,150.07,152.99,139.0,6885655.0
2022-11-16,152.75,152.75,149.5,150.67,136.9,5155545.0
2022-11-17,150.41,153.99,148.61,149.28,135.64,7079510.0
2022-11-18,149.38,154.0,149.11,153.02,139.03,4913646.0
2022-11-22,152.89,157.28,152.07,152.96,138.98,11019521.0
2022-11-23,153.08,155.5,153.0,154.24,140.14,5147936.0
2022-11-24,154.14,154.46,150.42,153.89,139.83,827834.0
2022-11-25,153.21,157.19,149.88,156.0,141.75,3067643.0
2022-11-28,155.91,159.36,152.72,153.02,139.03,4431126.0
2022-11-29,152.8,154.24,148.8,150.07,136.35,7112575.0
2022-11-30,150.77,155.0,147.22,154.85,140.69,19995090.0
2022-12-01,154.69,155.33,151.05,152.44,138.51,6427504.0
2022-12-02,152.33,153.49,149.36,149.85,136.15,5634903.0
2022-12-05,149.5,151.49,149.02,150.0,136.29,4994606.0
2022-12-06,146.66,149.0,145.0,147.47,139.39,4131047.0
2022-12-07,147.57,149.19,144.61,144.72,136.8,4876986.0
2022-12-08,145.58,148.08,145.17,147.11,139.06,4593716.0
2022-12-09,147.88,147.88,142.47,143.25,135.41,8487899.0
2022-12-13,144.28,145.38,141.49,143.8,135.92,12860842.0
2022-12-14,144.17,145.47,141.69,142.82,134.99,8425690.0
2022-12-15,143.67,144.27,141.8,143.0,135.16,10838546.0
2022-12-16,143.47,146.19,142.8,145.3,137.34,9502795.0
2022-12-19,146.38,148.99,145.0,148.69,140.55,2800933.0
2022-12-20,148.75,148.99,146.16,147.67,139.59,6445050.0
2022-12-21,147.97,149.08,146.69,146.86,138.82,2975792.0
2022-12-22,146.8,148.47,144.71,146.11,138.1,2698002.0
2022-12-23,146.3,149.6,146.0,148.63,140.48,2063463.0
2022-12-26,148.42,148.53,146.67,146.67,138.64,121499.0
2022-12-27,146.61,149.0,146.41,147.0,138.95,1688425.0
2022-12-28,147.19,147.21,144.5,144.85,136.91,2308858.0
2022-12-29,144.71,145.88,143.16,143.42,135.57,1478067.0
2022-12-30,143.64,144.49,139.3,140.24,132.55,4867037.0
2023-01-02,139.91,143.49,139.91,142.85,135.02,438899.0
2023-01-03,142.5,144.58,142.0,142.5,134.69,1412537.0
2023-01-04,141.3,146.88,141.3,145.85,137.86,4042840.0
2023-01-05,145.71,147.47,144.22,145.39,137.43,4449973.0
2023-01-06,146.38,151.44,145.21,150.75,142.5,3136816.0
2023-01-09,151.08,154.82,149.86,154.05,145.61,3123136.0
2023-01-10,154.0,154.89,151.3,153.57,145.15,5389933.0
2023-01-11,153.08,157.19,153.08,154.5,146.03,5286275.0
2023-01-12,154.36,157.5,153.33,155.69,147.17,4009548.0
2023-01-13,156.27,158.94,155.0,157.44,148.81,4632608.0
2023-01-16,157.78,157.94,153.69,155.55,147.03,1950882.0
2023-01-17,155.38,156.5,151.22,155.85,147.31,4008003.0
2023-01-18,156.27,156.27,152.41,153.57,145.15,3941264.0
2023-01-19,152.89,155.38,152.89,154.0,145.56,6324915.0
2023-01-20,154.38,157.44,152.13,154.74,146.26,5011211.0
2023-01-23,154.63,159.66,153.8,156.86,148.27,6101045.0
2023-01-24,156.82,159.78,155.71,159.0,150.29,6378945.0
2023-01-25,159.0,159.14,155.0,157.6,148.96,4029343.0
2023-01-26,157.69,157.69,153.72,155.69,147.16,3636623.0
2023-01-27,155.69,156.86,154.86,155.89,147.36,6879129.0
2023-01-30,156.69,156.69,154.13,155.69,147.16,6973932.0
2023-01-31,155.5,157.28,154.53,156.0,147.45,8765952.0
2023-02-01,156.13,158.0,156.13,157.5,148.87,5038772.0
2023-02-02,157.5,157.88,152.13,152.49,144.13,8071793.0
2023-02-03,153.32,155.17,152.94,153.42,145.02,4748368.0
2023-02-07,153.99,155.11,151.0,153.85,145.42,7599622.0
2023-02-08,153.71,155.19,151.0,153.46,145.05,6317456.0
2023-02-09,153.0,154.99,152.61,153.88,145.45,3814740.0
2023-02-10,153.0,155.72,153.0,155.03,146.54,5951858.0
2023-02-13,154.57,158.49,154.57,155.69,147.17,3719807.0
2023-02-14,156.16,158.99,155.89,156.77,148.19,11003241.0
2023-02-15,155.91,163.44,155.91,162.78,153.87,9270165.0
2023-02-16,162.3,164.5,161.61,164.0,155.01,6289333.0
2023-02-17,163.11,163.32,161.36,162.6,153.69,4490368.0
2023-02-20,163.08,165.97,162.69,164.05,155.06,1359628.0
2023-02-21,162.61,163.27,158.32,159.0,150.29,6585114.0
2023-02-22,158.75,159.63,154.21,154.55,146.09,5029636.0
2023-02-23,154.89,157.97,152.3,157.71,149.07,5251823.0
2023-02-24,157.58,158.0,155.82,156.63,148.05,3664566.0
2023-02-27,157.19,157.19,154.25,155.97,147.42,5462729.0
2023-02-28,155.71,156.49,152.33,154.88,146.39,9842902.0
2023-03-01,154.44,162.27,154.44,161.53,152.69,4617459.0
2023-03-02,161.5,161.63,157.02,158.08,149.43,6712936.0
2023-03-03,158.99,160.97,158.16,159.97,151.2,4544009.0
2023-03-06,159.8,161.33,159.74,161.22,152.38,3865578.0
2023-03-07,161.78,161.85,157.49,158.25,149.59,5413980.0
2023-03-08,158.0,160.96,158.0,160.69,151.89,4427250.0
2023-03-09,160.69,163.75,160.0,163.25,154.3,4941414.0
2023-03-10,147.41,149.19,144.72,147.35,139.02,5462729.0
2023-03-13,151.91,152.08,144.33,148.0,139.9,11348789.0
2023-03-14,149.27,150.5,144.72,144.8,136.87,8404057.0
2023-03-15,144.55,145.78,137.35,137.8,130.25,13777493.0
2023-03-16,138.88,149.44,138.69,149.14,140.98,9285839.0
2023-03-17,149.49,150.19,144.05,145.07,137.12,20022897.0
2023-03-21,146.0,151.99,144.46,150.92,142.66,10071423.0
2023-03-22,150.74,152.19,149.21,150.21,141.98,4742359.0
2023-03-23,151.08,152.77,149.99,151.8,143.48,9613628.0
2023-03-24,152.02,152.02,147.8,149.0,140.83,5817826.0
2023-03-27,149.1,150.28,143.13,143.58,135.72,8778874.0
2023-03-28,143.99,147.42,141.58,142.85,135.02,10078131.0
2023-03-29,142.77,149.91,142.07,149.0,140.83,8733665.0
2023-03-30,149.11,149.99,148.21,149.21,141.03,7683353.0
2023-03-31,149.05,152.69,148.8,151.72,143.41,8513215.0
2023-04-03,151.32,152.0,149.41,150.67,142.42,3079255.0
2023-04-04,151.21,153.5,149.3,152.52,144.17,4114901.0
2023-04-05,152.44,153.21,148.27,150.08,141.85,2693071.0
2023-04-10,149.44,150.88,148.27,149.75,141.54,3029602.0
2023-04-11,149.78,150.61,148.5,150.07,141.85,3426007.0
2023-04-12,149.52,150.85,144.61,145.64,137.67,5118869.0
2023-04-13,146.19,148.28,145.5,147.35,139.27,5023272.0
2023-04-14,147.58,148.3,146.36,147.57,139.48,3263808.0
2023-04-17,147.41,151.28,147.41,150.49,142.24,4607674.0
2023-04-18,150.53,150.94,148.61,150.07,141.85,2692410.0
2023-04-19,149.3,153.39,149.3,152.58,144.23,5282217.0
2023-04-20,152.0,153.36,150.0,153.02,144.64,3575098.0
2023-04-21,153.19,153.19,148.61,151.11,142.84,6865859.0
2023-04-24,152.08,158.69,151.72,158.69,150.0,5192118.0
2023-04-25,157.5,159.38,156.47,157.24,148.62,4451390.0
2023-04-26,156.41,157.49,150.6,150.6,142.35,5355127.0
2023-04-27,151.27,154.44,151.08,153.0,144.62,2854879.0
2023-04-28,153.27,155.99,153.11,155.82,147.28,7736460.0
2023-05-02,155.3,156.36,153.8,155.86,147.32,4052346.0
2023-05-03,155.86,158.44,155.13,155.88,147.35,4010770.0
2023-05-04,156.28,157.5,153.02,153.85,145.42,4224407.0
2023-05-05,154.0,155.55,152.22,153.08,144.7,5053291.0
2023-05-08,153.28,155.55,153.14,155.38,146.86,1977653.0
2023-05-09,154.61,157.88,154.61,157.88,149.24,2211263.0
2023-05-10,157.52,157.97,155.11,157.71,149.07,5178929.0
2023-05-11,157.77,158.38,151.88,152.69,144.33,5267915.0
2023-05-12,152.72,152.8,148.5,148.64,140.5,7178301.0
2023-05-15,149.3,153.42,149.0,152.55,144.19,6985047.0
2023-05-16,152.69,154.69,148.0,148.71,140.56,5985801.0
2023-05-17,149.08,150.08,148.0,148.19,140.07,6314287.0
2023-05-18,148.99,150.99,148.5,149.6,141.4,7583077.0
2023-05-19,150.28,150.78,144.21,145.5,137.53,8534541.0
2023-05-22,146.96,148.58,142.22,143.07,135.23,6737147.0
2023-05-23,143.5,144.99,141.05,141.71,133.94,8308153.0
2023-05-24,143.58,146.47,143.58,145.77,137.78,9816940.0
2023-05-25,144.41,148.36,144.41,148.3,140.18,7429454.0
2023-05-26,147.66,152.5,147.41,150.99,142.72,5003134.0
2023-05-29,151.11,151.99,150.88,151.83,143.51,979289.0
2023-05-30,150.91,151.0,147.91,148.0,139.89,8430544.0
2023-05-31,147.91,148.5,141.53,142.13,134.35,30479347.0
2023-06-01,142.78,143.92,140.05,141.38,133.64,6698400.0
2023-06-02,141.49,143.17,140.69,141.0,133.27,4758825.0
2023-06-05,141.88,143.66,141.41,142.19,134.41,7268938.0
2023-06-06,142.67,146.42,142.47,145.64,137.67,6078711.0
2023-06-07,147.08,147.28,143.13,143.75,135.88,6443038.0
2023-06-08,137.28,140.5,135.0,139.61,139.61,8226999.0
2023-06-09,139.78,141.28,139.71,141.0,141.0,5114428.0
