fecha,tipo_ingreso,linea,ingreso
2022-01-09,Boletos,Línea 8,236775.0
2022-01-09,Boletos,Línea 9,145475.0
2022-01-09,Boletos,Línea A,224450.0
2022-01-09,Boletos,Línea B,381325.0
2022-01-09,Boletos,Línea 12,0.0
2022-01-09,Recargas,Línea 1,733405.6
2022-01-09,Recargas,Línea 2,753650.1
2022-01-09,Recargas,Línea 3,700479.0
2022-01-09,Recargas,Línea 4,74422.0
2022-01-09,Recargas,Línea 5,223703.6
2022-01-09,Recargas,Línea 6,78937.0
2022-01-09,Recargas,Línea 7,300892.5
2022-01-09,Recargas,Línea 8,516792.8
2022-01-09,Recargas,Línea 9,379919.7
2022-01-09,Recargas,Línea A,360888.7
2022-01-09,Recargas,Línea B,519743.0
2022-01-09,Recargas,Línea 12,0.0
2022-01-09,Tarjetas,Línea 1,9195.0
2022-01-09,Tarjetas,Línea 2,9000.0
2022-01-09,Tarjetas,Línea 3,7650.0
2022-01-09,Tarjetas,Línea 4,540.0
2022-01-09,Tarjetas,Línea 5,2760.0
2022-01-09,Tarjetas,Línea 6,1020.0
2022-01-09,Tarjetas,Línea 7,3045.0
2022-01-09,Tarjetas,Línea 8,4770.0
2022-01-09,Tarjetas,Línea 9,2985.0
2022-01-09,Tarjetas,Línea A,2865.0
2022-01-09,Tarjetas,Línea B,4515.0
2022-01-09,Tarjetas,Línea 12,0.0
2022-01-09,QR/Validación,Línea 1,0.0
2022-01-09,QR/Validación,Línea 2,0.0
2022-01-09,QR/Validación,Línea 3,0.0
2022-01-09,QR/Validación,Línea 4,0.0
2022-01-09,QR/Validación,Línea 5,0.0
2022-01-09,QR/Validación,Línea 6,0.0
2022-01-09,QR/Validación,Línea 7,0.0
2022-01-09,QR/Validación,Línea 8,0.0
2022-01-09,QR/Validación,Línea 9,4415.0
2022-01-09,QR/Validación,Línea A,0.0
2022-01-09,QR/Validación,Línea B,0.0
2022-01-09,QR/Validación,Línea 12,0.0
2022-01-10,Boletos,Línea 1,778650.0
2022-01-10,Boletos,Línea 2,689600.0
2022-01-10,Boletos,Línea 3,574310.0
2022-01-10,Boletos,Línea 4,102800.0
2022-01-10,Boletos,Línea 5,252425.0
2022-01-10,Boletos,Línea 6,112475.0
2022-01-10,Boletos,Línea 7,254300.0
2022-01-10,Boletos,Línea 8,403175.0
2022-01-10,Boletos,Línea 9,276275.0
2022-01-10,Boletos,Línea A,363250.0
2022-01-10,Boletos,Línea B,532925.0
2022-01-10,Boletos,Línea 12,0.0
2022-01-10,Recargas,Línea 1,1233318.3
2022-01-10,Recargas,Línea 2,1727334.2
2022-01-10,Recargas,Línea 3,1459821.9
2022-01-10,Recargas,Línea 4,164613.0
2022-01-10,Recargas,Línea 5,440984.1
2022-01-10,Recargas,Línea 6,288132.0
2022-01-10,Recargas,Línea 7,760496.5
2022-01-10,Recargas,Línea 8,1019710.2
2022-01-10,Recargas,Línea 9,686593.5
2022-01-10,Recargas,Línea A,674715.8
2022-01-10,Recargas,Línea B,1032565.5
2022-01-10,Recargas,Línea 12,0.0
2022-01-10,Tarjetas,Línea 1,11610.0
2022-01-10,Tarjetas,Línea 2,16950.0
2022-01-10,Tarjetas,Línea 3,11685.0
2022-01-10,Tarjetas,Línea 4,855.0
2022-01-10,Tarjetas,Línea 5,3855.0
2022-01-10,Tarjetas,Línea 6,1635.0
2022-01-10,Tarjetas,Línea 7,5160.0
2022-01-10,Tarjetas,Línea 8,6855.0
2022-01-10,Tarjetas,Línea 9,3780.0
2022-01-10,Tarjetas,Línea A,5115.0
2022-01-10,Tarjetas,Línea B,7080.0
2022-01-10,Tarjetas,Línea 12,0.0
2022-01-10,QR/Validación,Línea 1,0.0
2022-01-10,QR/Validación,Línea 2,0.0
2022-01-10,QR/Validación,Línea 3,0.0
2022-01-10,QR/Validación,Línea 4,0.0
2022-01-10,QR/Validación,Línea 5,0.0
